departure,destination,date,zone,time,times,prices,transit
首都国际机场,爱丁堡机场,2021/1/16,朝阳区,39h40m,2,13652,戴高乐机场、史基普机场
首都国际机场,爱丁堡机场,2021/1/16,朝阳区,37h35m,2,26012,维也纳机场、法兰克福机场
首都国际机场,爱丁堡机场,2021/1/16,朝阳区,37h35m,2,26012,维也纳机场、法兰克福机场
首都国际机场,爱丁堡机场,2021/1/18,朝阳区,15h5m,1,5631,阿姆斯特丹
首都国际机场,爱丁堡机场,2021/1/18,朝阳区,27h,1,5631,阿姆斯特丹
首都国际机场,爱丁堡机场,2021/1/18,朝阳区,29h35m,2,10203,阿布扎比机场、史基普机场
首都国际机场,伯明翰机场,2021/1/16,朝阳区,33h35m,2,4304,香港机场、迪拜机场
首都国际机场,伯明翰机场,2021/1/16,朝阳区,26h45m,2,13452,戴高乐机场、史基普机场
首都国际机场,伯明翰机场,2021/1/16,朝阳区,26h45m,2,13452,戴高乐机场、史基普机场
首都国际机场,伯明翰机场,2021/1/16,朝阳区,26h45m,2,13452,戴高乐机场、史基普机场
首都国际机场,伯明翰机场,2021/1/16,朝阳区,26h45m,2,13452,戴高乐机场、史基普机场
首都国际机场,伯明翰机场,2021/1/16,朝阳区,26h45m,2,13452,戴高乐机场、史基普机场
首都国际机场,伯明翰机场,2021/1/16,朝阳区,26h45m,2,13452,戴高乐机场、史基普机场
首都国际机场,伯明翰机场,2021/1/16,朝阳区,36h,2,26012,维也纳机场、法兰克福机场
首都国际机场,伯明翰机场,2021/1/16,朝阳区,36h,2,26012,维也纳机场、法兰克福机场
首都国际机场,伯明翰机场,2021/1/17,朝阳区,36h10m,2,4304,香港机场、迪拜机场
首都国际机场,伯明翰机场,2021/1/18,朝阳区,14h40m,1,5902,史基普机场
首都国际机场,伯明翰机场,2021/1/18,朝阳区,41h15m,2,8682,阿布扎比机场、史基普机场
首都国际机场,伯明翰机场,2021/1/18,朝阳区,39h5m,2,9210,史基普机场、戴高乐机场
首都国际机场,伯明翰机场,2021/1/18,朝阳区,39h5m,2,9210,史基普机场、戴高乐机场
首都国际机场,伯明翰机场,2021/1/18,朝阳区,39h5m,2,9210,史基普机场、戴高乐机场
首都国际机场,伯明翰机场,2021/1/18,朝阳区,39h5m,2,13025,史基普机场、戴高乐机场
首都国际机场,伯明翰机场,2021/1/18,朝阳区,39h5m,2,13025,史基普机场、戴高乐机场
首都国际机场,伯明翰机场,2021/1/18,朝阳区,39h5m,2,13025,史基普机场、戴高乐机场
首都国际机场,格拉斯哥M,2021/1/16,朝阳区,33h40m,2,5235,香港机场、迪拜机场
首都国际机场,格拉斯哥M,2021/1/16,朝阳区,27h30m,2,13592,戴高乐机场、史基普机场
首都国际机场,格拉斯哥M,2021/1/16,朝阳区,27h30m,2,13592,戴高乐机场、史基普机场
首都国际机场,格拉斯哥M,2021/1/16,朝阳区,27h30m,2,13592,戴高乐机场、史基普机场
首都国际机场,格拉斯哥M,2021/1/16,朝阳区,27h30m,2,13592,戴高乐机场、史基普机场
首都国际机场,格拉斯哥M,2021/1/16,朝阳区,27h30m,2,13592,戴高乐机场、史基普机场
首都国际机场,格拉斯哥M,2021/1/16,朝阳区,27h30m,2,13592,戴高乐机场、史基普机场
首都国际机场,格拉斯哥M,2021/1/16,朝阳区,39h25m,2,13592,戴高乐机场、史基普机场
首都国际机场,格拉斯哥M,2021/1/16,朝阳区,39h25m,2,13592,戴高乐机场、史基普机场
首都国际机场,格拉斯哥M,2021/1/16,朝阳区,39h25m,2,13592,戴高乐机场、史基普机场
首都国际机场,格拉斯哥M,2021/1/16,朝阳区,39h25m,2,13592,戴高乐机场、史基普机场
首都国际机场,格拉斯哥M,2021/1/16,朝阳区,39h25m,2,13592,戴高乐机场、史基普机场
首都国际机场,格拉斯哥M,2021/1/16,朝阳区,39h25m,2,13592,戴高乐机场、史基普机场
首都国际机场,格拉斯哥M,2021/1/17,朝阳区,36h15m,2,4720,香港机场、迪拜机场
首都国际机场,格拉斯哥M,2021/1/18,朝阳区,14h50m,1,6054,阿姆斯特丹
首都国际机场,格拉斯哥M,2021/1/18,朝阳区,26h55m,1,6054,阿姆斯特丹
首都国际机场,格拉斯哥M,2021/1/18,朝阳区,29h30m,2,10171,阿布扎比机场、史基普机场
首都国际机场,格拉斯哥M,2021/1/18,朝阳区,41h25m,2,10171,阿布扎比机场、史基普机场
